ID;Nome;Ingredientes
0;No-Bake Nut Cookies;["açúcar mascavo","Leite","baunilha","porcas","manteiga","tamanho de mordida shredded arroz biscoitos"]
1;Jewell Ball'S Chicken;["carne","peitos de frango","creme de sopa de cogumelos","creme azedo"]
2;Creamy Corn;["milho congelado","Queijo creme","manteiga","alho p�","sal","pimenta"]
3;Chicken Funny;["Frango","Gravy Frango","Creme de sopa de cogumelos","Queijo desfiado"]
4;Reeses Cups(Candy);["manteiga de amendoim","cracker de Graham migalhas","manteiga","açúcar","Chips Chocolate"]
5;Cheeseburger Potato Soup;["Batatas de cozimento","carne moída extra","manteiga","Leite","sal","queijo cheddar","bacon","cebola verde","creme azedo"]
6;Rhubarb Coffee Cake;["açúcar","manteiga","buttermilk","farinha","sal","soda","buttermilk","ruibarbo","baunilha"]
7;Scalloped Corn;["milho de estilo creme","kernel de milho inteiro","biscoitos","ovo","manteiga","pimenta"]
8;Nolan'S Pepper Steak;["tomates","água","cebolas","molho de worcestershire","pimentas verdes","óleo"]
9;Millionaire Pie;["Abacaxi","Leite condensado","lim�es","pecans","crosta de cracker de Graham"]
10;Double Cherry Delight;["escurid�o doce cerejas pitted","Ginger ale","sabor gelatina","água fervente","extrato de amêndoa","marshmallows"]
11;Buckeye Candy;["açúcar","manteiga","manteiga de amendoim","parafina","chips de chocolate"]
12;Quick Barbecue Wings;["Frango","farinha","molho de churrasco"]
13;Taco Salad Chip Dip;["molho de taco","creme azedo","cream cheese","bovino � terra","taco tempero","alface shredded","tomate","cebola","pimenta verde","CHEDDAR QUEIE"]
14;Pink Stuff(Frozen Dessert);["Torta de enchimento","abacaxi","leite condensado","suco de limão"]
15;Fresh Strawberry Pie;["Shell","Morangos limpos","água","cornstarca","açúcar","sal","jello de morango"]
16;Easy German Chocolate Cake;["chocolate fudge bolo","bolo branco","óleo de wesson"]
17;Broccoli Salad;["brócolis","bacon","cebola verde","passas","mayonnaise","vinagre","açúcar"]
18;Strawberry Whatever;["Morangos congelados","Abacaxi  Bananas","pecans","morango","água fervente","creme azedo"]
19;Eggless Milkless Applesauce Cake;["açúcar","Encurtamento","AppleSauce","Soda","canela","farinha","passas","porcas"]
20;Grandma Hanrath'S Banana Breadfort Collins Colorado;["açúcar","encurtamento","ovos","sal","soda","farinha","porcas","bananas"]
21;Chocolate Frango Mints;["bolo misture","Pudim de chocolate","creme azedo","água","óleo de wesson","ovos","frango"]
22;Cuddy Farms Marinated Turkey;["óleo vegetal","molho de soja","alho"]
23;Spaghetti Sauce To Can;["Tomates","óleo","alho","pasta de tomate","pimentas","açúcar","sal","doce manjeric�o","oregano","tempero italiano"]
24;Prize-Winning Meat Loaf;["carne moída","suco de tomate","aveia","ovo","cebola","pimenta","sal"]
25;Smothered Round Steak(Servings: 4);["bife","pimenta preta","pimenta branca � terra","óleo vegetal","pimentão","bovino","sal","pimentão vermelho","sals�o"]
26;Corral Barbecued Beef Steak Strips;["Longo","óleo de cozimento","molho de tomate","água","açúcar mascavo","mostarda","molho de worcestershire","cebola"]
27;Easy Fudge;["leite condensado","Chips de chocolate semi-doce","chocolate sem açúcar","nozes","baunilha"]
28;Taco-Filled Green Pepper;["Carne moída","Tempero taco","feij�es","cebola","salsa","pimentas verdes","tomate","cheddar queijo","steed creme"]
29;One Hour Rolls;["leite","açúcar","levedura","sal","óleo crisco","farinha"]
30;Punch Bowl Fruit Salad;["pêssegos","Cocktail de frutas","abacaxi","morangos frescos","maçãs vermelhas","maçãs amarelas","bananas","uvas brancas","uvas roxas"]
31;Summer Chicken;["Costeletas de frango","óleo","vinagre vermelho","oregano","sal de alho"]
32;Cherry Pizza;["Cherry Pie Mix","Mistura de bolo branco Deluxe","manteiga","Nozes � terra"]
33;Potato And Cheese Pie;["ovos","sal","pimenta","batatas","queijo cheddar","cebola verde"]
34;Tuna Macaroni Casserole;["macarrão","atum","pimentos","cebola"]
35;Artichoke Dip;["cora��es","maionese","queijo parmesão"]
36;Broccoli Dip For Crackers;["creme azedo","mistura de sopa vegetal","brócolis","queijo cheddar"]
37;Summer Spaghetti;["Salada suprema","curativo italiano"]
38;Pear-Lime Salad;["metades de pera","cal gelatina","queijo creme","iogurte de limão"]
39;Watermelon Rind Pickles;["melancia casca","açúcar","vinagre de ma��","óleo","óleo de canela"]
